      XFOIL         Version 6.96
  
 Calculated polar for: DAE-11 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   9.750   1.5393   0.01950   0.01375  -0.1063   0.3148   1.0000
  10.000   1.5416   0.02108   0.01530  -0.1041   0.2994   1.0000
  10.250   1.5431   0.02277   0.01694  -0.1020   0.2837   1.0000
  10.500   1.5439   0.02457   0.01868  -0.1000   0.2671   1.0000
  10.750   1.5447   0.02640   0.02046  -0.0980   0.2514   1.0000
  11.000   1.5455   0.02829   0.02230  -0.0961   0.2358   1.0000
  11.250   1.5469   0.03016   0.02413  -0.0943   0.2215   1.0000
  11.500   1.5476   0.03213   0.02606  -0.0926   0.2070   1.0000
  11.750   1.5489   0.03409   0.02799  -0.0910   0.1935   1.0000
  12.000   1.5501   0.03616   0.03001  -0.0896   0.1792   1.0000
  12.250   1.5513   0.03831   0.03212  -0.0882   0.1658   1.0000
  12.500   1.5524   0.04053   0.03429  -0.0869   0.1516   1.0000
  12.750   1.5543   0.04275   0.03648  -0.0858   0.1396   1.0000
  13.000   1.5563   0.04500   0.03870  -0.0848   0.1283   1.0000
  13.250   1.5576   0.04738   0.04105  -0.0838   0.1165   1.0000
  13.500   1.5592   0.04980   0.04345  -0.0829   0.1055   1.0000
  13.750   1.5621   0.05214   0.04578  -0.0821   0.0957   1.0000
  14.000   1.5642   0.05462   0.04825  -0.0814   0.0869   1.0000
  14.250   1.5659   0.05717   0.05080  -0.0808   0.0786   1.0000
  14.500   1.5669   0.05989   0.05351  -0.0803   0.0708   1.0000
  14.750   1.5693   0.06247   0.05611  -0.0798   0.0635   1.0000
  15.000   1.5706   0.06524   0.05890  -0.0794   0.0575   1.0000
  15.250   1.5712   0.06816   0.06182  -0.0791   0.0515   1.0000
  15.500   1.5738   0.07090   0.06460  -0.0790   0.0470   1.0000
  15.750   1.5742   0.07393   0.06766  -0.0788   0.0427   1.0000
  16.000   1.5767   0.07675   0.07054  -0.0788   0.0391   1.0000
  16.250   1.5761   0.08003   0.07385  -0.0788   0.0355   1.0000
  16.500   1.5785   0.08295   0.07684  -0.0790   0.0328   1.0000
  16.750   1.5778   0.08637   0.08030  -0.0792   0.0301   1.0000
  17.000   1.5790   0.08952   0.08353  -0.0795   0.0278   1.0000
  17.250   1.5787   0.09295   0.08701  -0.0799   0.0257   1.0000
  17.500   1.5777   0.09651   0.09063  -0.0804   0.0238   1.0000
  17.750   1.5784   0.09988   0.09410  -0.0810   0.0222   1.0000
  18.000   1.5769   0.10363   0.09791  -0.0817   0.0207   1.0000
  18.250   1.5756   0.10734   0.10170  -0.0825   0.0194   1.0000
  18.500   1.5751   0.11097   0.10542  -0.0834   0.0182   1.0000
  18.750   1.5734   0.11484   0.10937  -0.0844   0.0171   1.0000
  19.000   1.5708   0.11887   0.11346  -0.0855   0.0162   1.0000
