       XFOIL         Version 6.96
  
 Calculated polar for: DAE-11 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  -1.500   0.4893   0.00884   0.00263  -0.1262   0.6319   0.0263
  -1.250   0.5181   0.00868   0.00245  -0.1264   0.6295   0.0297
  -1.000   0.5471   0.00854   0.00232  -0.1266   0.6276   0.0343
  -0.750   0.5761   0.00838   0.00221  -0.1269   0.6256   0.0438
  -0.500   0.6050   0.00820   0.00212  -0.1271   0.6233   0.0701
  -0.250   0.6337   0.00799   0.00206  -0.1274   0.6210   0.1232
   0.000   0.6622   0.00773   0.00203  -0.1277   0.6187   0.2092
   0.250   0.6906   0.00750   0.00203  -0.1280   0.6163   0.3112
   0.500   0.7186   0.00732   0.00208  -0.1282   0.6136   0.4200
   0.750   0.7467   0.00705   0.00213  -0.1284   0.6115   0.5405
   1.250   0.8047   0.00610   0.00221  -0.1289   0.6064   1.0000
   1.500   0.8335   0.00614   0.00220  -0.1291   0.6036   1.0000
   1.750   0.8621   0.00620   0.00220  -0.1293   0.6007   1.0000
   2.000   0.8907   0.00627   0.00223  -0.1295   0.5977   1.0000
   2.250   0.9195   0.00629   0.00226  -0.1298   0.5947   1.0000
   2.500   0.9482   0.00633   0.00228  -0.1300   0.5913   1.0000
   2.750   0.9767   0.00638   0.00230  -0.1302   0.5879   1.0000
   3.000   1.0049   0.00648   0.00233  -0.1303   0.5843   1.0000
   3.250   1.0335   0.00651   0.00239  -0.1306   0.5808   1.0000
   3.500   1.0620   0.00656   0.00244  -0.1308   0.5768   1.0000
   3.750   1.0902   0.00663   0.00248  -0.1310   0.5726   1.0000
   4.000   1.1181   0.00672   0.00255  -0.1311   0.5684   1.0000
   4.250   1.1465   0.00678   0.00262  -0.1314   0.5640   1.0000
   4.500   1.1744   0.00686   0.00269  -0.1315   0.5591   1.0000
   4.750   1.2019   0.00698   0.00278  -0.1316   0.5542   1.0000
   5.000   1.2299   0.00705   0.00288  -0.1318   0.5488   1.0000
   5.250   1.2573   0.00717   0.00297  -0.1319   0.5428   1.0000
   5.500   1.2846   0.00728   0.00309  -0.1320   0.5368   1.0000
   5.750   1.3118   0.00740   0.00321  -0.1321   0.5299   1.0000
   6.000   1.3385   0.00756   0.00335  -0.1322   0.5232   1.0000
   6.250   1.3653   0.00770   0.00350  -0.1322   0.5155   1.0000
   6.500   1.3915   0.00788   0.00366  -0.1322   0.5078   1.0000
   6.750   1.4175   0.00806   0.00384  -0.1321   0.4987   1.0000
   7.000   1.4433   0.00826   0.00403  -0.1320   0.4896   1.0000
   7.250   1.4679   0.00851   0.00426  -0.1317   0.4792   1.0000
   7.500   1.4923   0.00877   0.00450  -0.1314   0.4676   1.0000
   7.750   1.5163   0.00905   0.00476  -0.1311   0.4551   1.0000
   8.000   1.5390   0.00938   0.00506  -0.1306   0.4412   1.0000
   8.250   1.5603   0.00978   0.00541  -0.1298   0.4256   1.0000
   8.500   1.5799   0.01024   0.00581  -0.1288   0.4087   1.0000
   8.750   1.5970   0.01079   0.00629  -0.1274   0.3908   1.0000
   9.000   1.6129   0.01135   0.00678  -0.1259   0.3727   1.0000
   9.250   1.6254   0.01199   0.00736  -0.1238   0.3543   1.0000
   9.500   1.6303   0.01270   0.00802  -0.1203   0.3374   1.0000
   9.750   1.6297   0.01365   0.00892  -0.1164   0.3219   1.0000
  10.000   1.6315   0.01480   0.01003  -0.1134   0.3079   1.0000
  10.250   1.6315   0.01626   0.01144  -0.1106   0.2906   1.0000
  10.500   1.6329   0.01779   0.01292  -0.1081   0.2747   1.0000
  10.750   1.6337   0.01944   0.01451  -0.1058   0.2585   1.0000
  11.000   1.6340   0.02118   0.01619  -0.1035   0.2426   1.0000
  11.250   1.6342   0.02298   0.01792  -0.1013   0.2269   1.0000
  11.500   1.6348   0.02478   0.01967  -0.0992   0.2115   1.0000
  11.750   1.6354   0.02663   0.02146  -0.0973   0.1966   1.0000
  12.000   1.6360   0.02851   0.02330  -0.0954   0.1831   1.0000
  12.250   1.6360   0.03049   0.02523  -0.0936   0.1694   1.0000
  12.500   1.6346   0.03261   0.02728  -0.0917   0.1536   1.0000
  12.750   1.6360   0.03462   0.02925  -0.0902   0.1420   1.0000
  13.000   1.6364   0.03680   0.03138  -0.0887   0.1291   1.0000
  13.250   1.6374   0.03896   0.03349  -0.0874   0.1170   1.0000
  13.500   1.6381   0.04124   0.03573  -0.0862   0.1059   1.0000
  13.750   1.6405   0.04340   0.03787  -0.0851   0.0956   1.0000
  14.000   1.6425   0.04568   0.04013  -0.0841   0.0868   1.0000
  14.250   1.6442   0.04801   0.04244  -0.0831   0.0778   1.0000
  14.500   1.6442   0.05060   0.04500  -0.0823   0.0691   1.0000
  14.750   1.6451   0.05313   0.04751  -0.0815   0.0617   1.0000
  15.000   1.6475   0.05556   0.04995  -0.0808   0.0554   1.0000
  15.250   1.6486   0.05822   0.05261  -0.0802   0.0495   1.0000
  15.500   1.6492   0.06095   0.05534  -0.0797   0.0442   1.0000
  15.750   1.6516   0.06356   0.05797  -0.0793   0.0401   1.0000
  16.000   1.6515   0.06648   0.06090  -0.0790   0.0358   1.0000
  16.250   1.6537   0.06921   0.06368  -0.0788   0.0328   1.0000
  16.500   1.6535   0.07227   0.06675  -0.0786   0.0295   1.0000
  16.750   1.6557   0.07509   0.06963  -0.0786   0.0273   1.0000
  17.000   1.6548   0.07833   0.07290  -0.0786   0.0248   1.0000
  17.250   1.6563   0.08134   0.07598  -0.0787   0.0230   1.0000
  17.500   1.6561   0.08462   0.07930  -0.0789   0.0213   1.0000
  17.750   1.6545   0.08815   0.08288  -0.0793   0.0196   1.0000
  18.000   1.6555   0.09134   0.08615  -0.0796   0.0185   1.0000
  18.250   1.6548   0.09480   0.08966  -0.0801   0.0173   1.0000
  18.500   1.6498   0.09898   0.09390  -0.0808   0.0160   1.0000
  18.750   1.6510   0.10228   0.09728  -0.0815   0.0152   1.0000
  19.000   1.6504   0.10585   0.10092  -0.0823   0.0143   1.0000
  19.250   1.6465   0.10998   0.10512  -0.0833   0.0135   1.0000
